1609510140.0,29494.65000000,29499.24000000,29447.62000000,29447.89000000,67.17068900,1609510199999,1979966.25284838,1168,12.62343600,372105.72258722,0
1609510200.0,29447.89000000,29460.99000000,29424.28000000,29424.29000000,76.90879300,1609510259999,2264481.24360537,1353,29.53072500,869540.39725303,0
1609510260.0,29424.28000000,29447.45000000,29403.10000000,29444.80000000,65.40271500,1609510319999,1924686.58907682,1579,32.81722100,965874.66783005,0
1609510320.0,29444.80000000,29447.41000000,29434.07000000,29444.31000000,20.24340800,1609510379999,595966.37279712,630,10.12753300,298166.15263887,0
1609510380.0,29444.58000000,29484.56000000,29444.57000000,29480.00000000,50.53355700,1609510439999,1489145.23857438,1280,36.79501200,1084252.92941730,0
1609510440.0,29480.00000000,29480.00000000,29444.11000000,29451.20000000,49.12804700,1609510499999,1447081.62441232,1088,25.10636000,739505.11510613,0
1609510500.0,29451.19000000,29451.19000000,29416.94000000,29432.98000000,48.77434600,1609510559999,1435625.16579795,1247,16.00261000,471016.98546931,0
1609510560.0,29432.97000000,29441.29000000,29380.00000000,29389.74000000,78.68423200,1609510619999,2313849.16906094,1717,30.66598700,901885.74825843,0
1609510620.0,29389.74000000,29430.62000000,29378.57000000,29402.20000000,53.56475700,1609510679999,1575163.25578696,1201,22.90180900,673511.04018033,0
1609510680.0,29402.08000000,29443.49000000,29398.77000000,29414.06000000,56.96520600,1609510739999,1676096.71280347,1359,29.61769400,871427.65943893,0
1609510740.0,29414.05000000,29441.19000000,29410.74000000,29425.61000000,30.76056200,1609510799999,905162.65478491,913,17.03342400,501219.46817228,0
1609510800.0,29426.71000000,29430.67000000,29410.01000000,29429.56000000,25.96512200,1609510859999,763936.34983282,903,9.71011300,285695.76502353,0
1609510860.0,29429.56000000,29446.62000000,29427.94000000,29434.09000000,20.98459700,1609510919999,617747.33665074,836,11.62494400,342217.52030028,0
1609510920.0,29434.09000000,29443.92000000,29431.09000000,29440.68000000,17.93364000,1609510979999,527966.85565433,732,7.82845400,230476.62625931,0
1609510980.0,29440.67000000,29467.85000000,29440.67000000,29452.25000000,28.15236800,1609511039999,829207.41779685,887,12.22898600,360180.50050080,0
1609511040.0,29452.24000000,29453.15000000,29410.00000000,29424.20000000,37.40835200,1609511099999,1100775.08651481,999,11.88943700,349889.23521585,0
